"","电影院地址","售价","原价","已售出票数","备注"
"1","唐阁影城","￥33","￥100","已售34765","仅售33元，价值100元2D/3D单人电影票1张，不限时段通兑！免票儿童可免费观看2D/3D电影！"
"2","保利万源影城","￥27","￥100","已售49319","仅售27元，价值100元2D/3D单人电影票，可升级为3D票，不限时段通兑！免票儿童可免费观看2D电影！"
"3","耀莱成龙国际影城","￥35","￥90","已售6354","仅售35元，价值90元2D/3D单人电影票！"
"4","大料国际影院","￥35","￥100","已售116197","仅售35元，价值100元2D/3D单人电影票，可升级为3D票，不限时段通兑！免票儿童可免费观看3D电影！"
"5","美嘉欢乐影城","￥43.9","￥120","已售49700","仅售43.9元，价值120元2D/3D单人电影票！可升级为巨幕厅影票！"
"6","嘉华国际影城","￥35","￥100","已售3827","仅售35元，价值100元2D/3D单人电影票！"
"7","搜秀影城","￥36","￥120","已售12755","仅售36元，价值120元2D/3D单人电影票，免票儿童可免费观看2D电影！现场优惠购买卖品指定套餐！"
"8","星美国际影城","￥34","￥100","已售19404","仅售34元，价值100元单人观影票 2D/3D，不限时段通兑！"
"9","星美国际影城","￥49","￥120","已售11195","仅售49元，价值120元单人观影票，不限时段通兑！"
"10","天宝国际影城","￥25","￥100","已售29866","仅售25元，价值100元2D/3D电影票，不限时段通兑，免票儿童可免费观看2D电影！凭团购码到店赠送卖品套餐优惠券一张！"
"11","CGV星星国际影城","￥51","￥132","已售3449","仅售51元，价值132元单人影票，不限时段通兑！可升级情侣厅电影票！"
"12","星美国际影城","￥42","￥90","已售11212","仅售42元，价值90元单人观影票，不限时段通兑！"
"13","CGV国际影城","￥40","￥110","已售42901","仅售40元，价值110元电影票！到店加5元现金可升级看3D！"
"14","耀莱成龙国际影城","￥49","￥200","已售2830","仅售49元，价值200元2D/3D双人电影票一张！"
"15","新影联·华谊兄弟影院","￥35","￥80","已售1353","仅售35元，价值80元单人2D/3D电影票，不限时段通兑！"
"16","东环影城","￥29","￥120","已售95237","仅售29元，价值120元电影票1张，可升级为3D票，全场通兑，不限时段通兑！不限时间段，含3D电影！"
"17","耀莱成龙国际影城","￥49","￥160","已售2512","仅售49元，价值160元2D双人电影票1份，可升级为3D票！"
"18","保利国际影城","￥40","￥100","已售22995","仅售40元，价值100元单人电影票，可升级为3D票！2D/3D可兑！"
"19","嘉华国际影城","￥30","￥100","已售1681","仅售30元，价值100元单人2D观影券，不限时段通兑！"
"20","博纳国际影城","￥39","￥120","已售9134","仅售39元，价值120元2D/3D单人观影票，不限时段通兑！免票儿童可免费观看2D电影！"
"21","CGV星星国际影城","￥41","￥100","已售5920","仅售41元，价值100元单人影票，不限时段通兑！可升级情侣厅电影票！"
"22","北京银兴乐天影城","￥36","￥100","已售6064","仅售36元，价值100元单人2D/3D影票，免票儿童可免费观看3D电影！"
"23","百老汇","￥35","￥90","已售1579","仅售35元，价值90元2D单人观影票，不限时段通兑！"
"24","五道口工人俱乐部电影院","￥31","￥70","已售21628","仅售31元，价值70元2D/3D单人电影票，可升级为3D票，不限时段通兑！无需预约，不限时段，节假日通用！"
"25","金逸影城","￥45","￥90","已售1585","仅售45元，价值90元单人2D电影票1张！"
"26","传奇时代影城","￥35.5","￥105.5","已售677","仅售35.5元，价值105.5元2D/3D单人电影票兑换券！包含（单人电影票1张+屈臣氏矿泉水1瓶）！"
"27","金逸影城","￥36","￥120","已售2013","仅售36元，价值120元单人2D/3D电影票！"
"28","华谊兄弟","￥35","￥80","已售711","仅售35元，价值80元单人2D电影票，可升级为3D票，不限时段通兑！"
"29","星美国际影城","￥42","￥120","已售6592","仅售42元，价值120元单人观影票，不限时段通兑！"
"30","耀莱成龙国际影城","￥25","￥100","已售3442","仅售25元，价值100元2D/3D单人电影票！"
"31","博纳国际影城","￥99","￥273","已售1094","仅售99元，价值273元双人2D/3D观影票+食品套餐，无需补差价，不限时段通兑！免票儿童可免费观看2D/3D电影！"
"32","横店影城","￥27","￥80","已售9329","仅售27元，价值80元单人电影票，不限时段通兑，免票儿童可免费观看2D电影！横店影城单人影票（含3D）！"
"33","紫光影城","￥21","￥100","已售131965","仅售21元，价值100元单人2D/3D电影票1张，可升级为3D票，不限时段通兑！节假日通用！"
"34","新华国际影城","￥36","￥110","已售426","仅售36元，价值110元2D/3D单人影票1张，可升级为3D票！"
"35","耀莱成龙国际影城","￥25","￥100","已售1867","仅售25元，价值100元2D/3D单人电影票！"
"36","17.5影城","￥27","￥70","已售17794","仅售27元，价值70元2D/3D单人电影票1张！无需预约，交通便利，精彩酷炫电影，尽在这里！"
"37","阳光影城","￥28","￥100","已售48687","仅售28元，价值100元电影票1张！含3D，不限时间段，震撼视听，逼真影像，大片云集，精彩纷呈！"
"38","沃美影城（常营）","￥40","￥75","已售17137","仅售40元，价值75元2D单人电影票1张，可升级为3D票，不限时段通兑！免票儿童可免费观看2D电影！"
"39","劲松电影院","￥26","￥70","已售5646","仅售26元，价值70元2D/3D单人电影票，不限时段通兑！"
"40","金逸影城","￥36","￥110","已售1397","仅售36元，价值110元2D/3D单人电影票！"
"41","大地数字影院","￥35.9","￥80","已售292","仅售35.9元，价值80元单人2D/3D电影票，不限时段通兑！"
"42","CGV国际影城","￥41","￥90","已售18452","仅售41元，价值90元单人电影票！2D/3D两种影票2选1！"
