"","电影院地址","售价","原价","已售出票数","备注"
"30","大地数字影院","￥19.9","￥80","已售119","仅售19.9元，价值80元单人2D电影票1张，不限时段通兑！"
"31","今典院线17.5影城","￥39","￥70","已售1725","仅售39元，价值70元2D/3D通兑单人电影票！"
"32","大兴剧院","￥30","￥60","已售11315","仅售30元，价值60元电影票1张！不限时段，含3D，光影盛宴，豪华放映，大片云集，欲罢不能！"
"33","耀莱成龙国际影城","￥25","￥35","已售121","仅售25元，价值35元“在一起”小食套餐！包含：1份46oz爆米花+1杯16oz清润梨汁！"
"34","星环影城","￥38","￥90","已售539","仅售38元，价值90元单人电影票/三人美食套餐2选1，可升级为3D票，无需补差价！可观看2D/3D！"
"35","国图艺术中心","￥26","￥80","已售119","仅售26元，价值80元单人2D/3D电影票，不限时段通兑！免票儿童可免费观看2D/3D电影！"
"36","疯狂4D影酷","￥22","￥30","已售2144","仅售22元，价值30元4D电影票1张！百部经典动感影片体验不同的冒险经历。！"
"37","云乐迪电影吧（摩威秀影城）","￥139","￥702","已售85","仅售139元，价值702元3部连看包夜观影票1张！北京首家可以躺着看电影的电影院，既能看电影又能睡一宿！"
"38","云乐迪电影吧","￥139","￥278","已售243","仅售139元，价值278元主题包间通宵观影套票！空间私密，尽情吐槽说笑，可调节电动沙发，能坐能躺超级软！"
"39","佳合时光影城","￥25","￥38","已售108","仅售25元，价值38元小食套餐！"
"40","玫瑰之约汽车影院","￥60","￥100","已售13","仅售60元，价值100元玫瑰之约汽车影院影票1张，免费WiFi，免费停车位！"
"41","中环时代国际影城","￥30","￥80","已售6717","仅售30元，价值80元单人电影票1张，2D3D通兑！无需补差价！，可升级为3D票！精彩热门大片一网打尽，享受视觉盛宴！"
"42","博纳国际影城","￥48","￥55","已售19","仅售48元，价值55元洋葱圈双人套餐：洋葱圈一袋（70g）+大桶爆米花+2杯中可乐！"
"43","北京万画四季青影城","￥26","￥46","已售95","仅售26元，价值46元中爆米花1份+现调饮料2份+烤肠1份+小吃1份！"
"44","云乐迪电影吧（摩威秀影城）","￥59","￥99","已售151","仅售59元，价值99元观影票1张！北京首家可以躺着看电影的电影院！私密的空间，海量片库，随到随看！"
"45","云乐迪电影吧","￥59","￥99","已售138","仅售59元，价值99元主题包间观影套票！空间私密，尽情吐槽说笑，可调节电动沙发，能坐能躺超级软！"
"46","云乐迪电影吧（摩威秀影城）","￥138","￥234","已售3","仅售138元，价值234元3人家庭/情侣观影套餐！"
"47","中国木偶剧院","￥31","￥60","已售318","仅售31元，价值60元单人电影票1张！2D/3D可兑，不分节假日，黄金地段交通便利，首轮大片全市同步！"
"48","主题包间平日黄金观影套票1张","￥49","￥99","已售458","仅售49元，价值99元单人主题包间平日黄金观影套票1张，免费WiFi！"
