"","电影院地址","售价","原价","已售出票数","备注"
"1","保利dmc影城","￥27","￥100","已售478","仅售27元，价值100元非黄金时段单人2D/3D观影票1张！"
"2","保利dmc影城","￥37","￥100","已售342","仅售37元，价值100元黄金时段 2D/3D单人电影票，不限时段通兑！"
"3","沃美影城回龙观店","￥40","￥85","已售6475","仅售40元，价值85元超值单人2D电影票，可升级为3D票，不限时段通兑！"
"4","佳合时光影城","￥30","￥100","已售912","仅售30元，价值100元2D/3D单人通用电影票，可升级为3D票！"
"5","保利万源影城","￥20","￥30","已售4714","仅售20元，价值30元观影小吃套餐！可乐电影爆米花，钟情于简单的幸福！"
"6","金逸影城","￥26","￥100","已售739","仅售26元，价值100元2D/3D单人电影票！"
"7","环球国际影城","￥26","￥80","已售1957","仅售26元，价值80元单人2D/3D电影票1张！"
"8","中影国际影城小西天店","￥29.9","￥50","已售255","仅售29.9元，价值50元2D单人电影票，可升级为3D票，免票儿童可免费观看2D电影！"
"9","今典院线17.5影城","￥30","￥70","已售4807","仅售30元，价值70元2D/3D通兑单人电影票！"
"10","","","","",""
"11","国安剧院","￥22","￥80","已售20976","仅售22元，价值80元单人观影票1张，可升级为3D票！2D3D通兑，金秋大片云集，讲述唯美爱情，体会震撼视觉！"
"12","新华国际影城","￥36","￥80","已售630","仅售36元，价值80元2D/3D单人影票，不限时段通兑！"
"13","云乐迪电影吧（摩威秀影城）","￥78","￥156","已售987","仅售78元，价值156元主题包间观影票1张！躺在舒适的皮沙发上，看着喜爱的电影,度过专属你们的电影时光！"
"14","保利国际影城","￥40","￥100","已售2228","仅售40元，价值100元单人2D/3D电影票，不限时段通兑！免票儿童可免费观看2D电影！"
"15","保利国际影城","￥40.9","￥80","已售6009","仅售40.9元，价值80元单人票，不限时段通兑！2D/3D/激光厅通兑！"
"16","海淀剧院","￥31","￥80","已售11316","仅售31元，价值80元电影票，可升级为3D票！"
"17","星美国际影城","￥36","￥80","已售1201","仅售36元，价值80元单人观影票，不限时段通兑，免票儿童可免费观看3D电影！"
"18","幸福蓝海国际影城","￥35.9","￥80","已售5462","仅售35.9元，价值80元单人电影票2D/3D，无需补差价，全场通兑！"
"19","北京剧院","￥25","￥80","已售3804","仅售25元，价值80元单人2D/3D电影票！赠可乐1杯！"
"20","东宫影院","￥21.9","￥60","已售11431","仅售21.9元，价值60元单人2D电影票1张！高端观影设备，感受震撼视觉享受，精彩大片，就等你来！"
"21","博纳国际影城","￥50","￥140","已售421","仅售50元，价值140元单人2D/3D观影票+食品套餐，无需补差价，不限时段通兑！免票儿童可免费观看2D/3D电影！"
"22","艾米1895电影街","￥198","￥410","已售269","仅售198元，价值410元艾米1895电影街包间观影套餐！海量影片，随心点播，尊享你的私人定制影院，爱她/他就带她/他来艾米1895电影街吧！"
"23","朝阳剧场","￥21","￥60","已售6595","仅售21元，价值60元电影票1张，可升级为3D票，不限时段通兑！节假日通用！"
"24","昌平保利影剧院","￥27","￥120","已售11085","仅售27元，价值120元昌平保利影院单人2D/3D票！无需预约，节假日通用！"
"25","云乐迪电影吧","￥89","￥156","已售1849","仅售89元，价值156元主题包间平日黄金场观影套票 ！空间私密，尽情吐槽说笑，可调节电动沙发！"
"26","鲁信影城","￥25","￥80","已售12181","仅售25元，价值80元2D/3D单人电影票！无需预约，周末法定节假日通用！"
"27","云乐迪电影吧","￥138","￥234","已售1319","仅售138元，价值234元主题包间周末黄金场观影套票 ！空间私密，尽情吐槽说笑，可调节电动沙发！"
"28","东星国际影城","￥33","￥80","已售30298","仅售33元，价值80元单人电影票2D/3D可兑，可升级为3D票！爱电影，爱生活，看不完海内外大片，享不尽视听盛宴！"
"29","北京银兴乐天影城","￥16","￥25","已售518","仅售16元，价值25元香甜爆米花单人套餐！"
